1|2026-06-01|150000|10000|140000|150000|10000|PROMO10|alice|P0001(2),P0003(1)
2|2026-06-02|95000|5000|90000|100000|10000|-|bob|P0005(1),P0007(1)
3|2026-06-03|180000|0|180000|200000|20000|MEMBER15|alice|P0008(2),P0020(1)
4|2026-06-10|250000|20000|230000|250000|20000|-|carol|P0002(1),P0006(1),P0011(2)
5|2026-07-02|136000|0|136000|200000|64000|-|Non-Member|P0032:2:68000.000000
6|2026-07-02|450000|0|450000|500000|50000|-|Non-Member|P0009:3:150000.000000
7|2026-07-02|60000|0|60000|100000|40000|-|Non-Member|P0013:2:30000.000000
8|2026-07-02|299994|0|299994|300000|6|-|Non-Member|P0009:2:149997.000000
9|2026-07-04|206000|0|206000|300000|94000|-|Non-Member|P0021:4:51500.000000
10|2026-07-05|203994|4079|199914|200000|85|-|wawa|P0032:3:67998.00000011|2026-07-10|218000|26160|191840|200000|8160|PROMO10|alice|P0023:4:54500.000000
11|2026-07-10|154488|18538|135949|140000|4050|PROMO10|alice|P0021:3:51496.000000
12|2026-07-10|135990|16318|119671|120000|328|PROMO10|alice|P0032:2:67995.000000
13|2026-07-10|235500|28260|207240|210000|2760|PROMO10|alice|P0039:3:78500.000000
14|2026-07-10|50000|0|50000|100000|50000|-|Non-Member|P0042:2:25000.000000
15|2026-07-10|1020000|122400|897600|1000000000|999102400|PROMO10|alice|P0012:12:85000.000000
16|2026-07-10|102986|0|102986|103000|14|-|Non-Member|P0021:2:51493.000000
17|2026-07-10|106000|0|106000|20000000|19894000|-|Non-Member|P0022:2:53000.000000
18|2026-07-10|105996|12719|93276|100000|6723|PROMO10|alice|P0022:2:52998.000000
19|2026-07-10|169976|0|169976|2000000|1830024|-|Non-Member|P0012:2:84988.000000
20|10-07-2026 19:03|299990|0|299990|3000000|2700010|-|Non-Member|P0009:2:149995.000000
